Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Aberafan Maesteg,Wales,Lab,8.1,49.9,2.6,3.1,0.0,13.2,20.9,0.0,1.7,0.5
Aberdeen North,Scotland,SNP,14.0,30.3,6.1,3.0,34.5,0.0,9.0,0.0,0.0,3.0
Aberdeen South,Scotland,SNP,24.4,24.7,6.3,3.5,32.8,0.0,6.9,0.0,0.5,0.9
Aberdeenshire North and Moray East,Scotland,SNP,32.8,10.1,7.3,0.0,35.2,0.0,14.6,0.0,0.0,0.0
Airdrie and Shotts,Scotland,Lab,4.6,51.5,2.0,0.0,30.9,0.0,8.1,0.0,0.0,2.9
Aldershot,Southern England,Lab,29.0,40.7,8.3,4.4,0.0,0.0,16.9,0.0,0.0,0.6
Aldridge-Brownhills,Midlands,Con,38.9,28.4,4.3,4.3,0.0,0.0,24.2,0.0,0.0,0.0
Alloa and Grangemouth,Scotland,Lab,7.6,43.8,2.8,3.4,28.9,0.0,9.2,0.0,2.1,2.1
Altrincham and Sale West,Northern England,Lab,32.3,40.4,9.2,7.2,0.0,0.0,9.6,0.0,0.0,1.2
Alyn and Deeside,Wales,Lab,18.2,42.4,4.8,4.4,0.0,4.5,22.1,0.0,3.6,0.0
Amber Valley,Midlands,Lab,25.2,37.0,3.7,5.4,0.0,0.0,28.7,0.0,0.0,0.0
Angus and Perthshire Glens,Scotland,SNP,30.1,14.4,6.7,0.0,40.4,0.0,6.9,0.0,1.5,0.0
Arbroath and Broughty Ferry,Scotland,SNP,15.5,33.4,5.1,0.0,35.3,0.0,8.6,0.0,0.0,2.1
"Argyll, Bute and South Lochaber",Scotland,SNP,20.8,19.1,16.4,0.0,34.7,0.0,6.8,0.0,2.1,0.0
Arundel and South Downs,Southern England,Con,40.2,17.9,18.0,10.1,0.0,0.0,13.5,0.0,0.0,0.3
Ashfield,Midlands,Ref,8.2,29.0,1.6,2.8,0.0,0.0,42.8,0.0,0.0,15.7
